scope,indicator,bucket,closed_trades,win_rate,win_rate_ci_low,win_rate_ci_high,avg_return_pct,median_return_pct,avg_duration_days,total_pnl,sample_confidence
family:exit_target,decision_vol_quartile,"(0.173, 4.061]",196,0.7653061224489796,0.7012251967720898,0.8191869696637272,3.674769719269816,2.81091533659318,39.86164257369615,28493.307174650003,medium
family:exit_target,decision_vol_quartile,"(4.061, 5.508]",182,0.7802197802197802,0.7146090726226536,0.8342454357328491,4.459411172336713,4.32784089533313,44.437385531135526,31639.566892200004,medium
family:exit_target,decision_vol_quartile,"(5.508, 7.194]",210,0.8333333333333334,0.777036492360035,0.8776537082370426,4.845932443555333,5.100860218184096,36.78361441798942,40501.277882899994,medium
family:exit_target,decision_vol_quartile,"(7.194, 16.814]",193,0.844559585492228,0.7867735602322046,0.8888966233062343,5.068555753625867,4.60826970086327,40.42263960852044,39271.835933450006,medium
family:risk_stack,decision_vol_quartile,"(0.173, 4.061]",1350,0.4288888888888889,0.4027262903362149,0.45545505081920545,0.054070570731771884,-0.15043537369546,6.421831275720165,3732.6960242500127,high
family:risk_stack,decision_vol_quartile,"(4.061, 5.508]",1408,0.46732954545454547,0.4413924942577736,0.4934443882933569,0.49327616221715326,-0.05883291812327,6.2668235085227275,29474.111592300032,high
family:risk_stack,decision_vol_quartile,"(5.508, 7.194]",1404,0.47293447293447294,0.44692795953144193,0.4990886946148767,0.5474166350877674,-0.14488100888934,7.903485082304526,35736.80552185003,high
family:risk_stack,decision_vol_quartile,"(7.194, 16.814]",1346,0.5,0.4733262134483113,0.5266737865516887,0.22824909909940572,-0.0019194825323300005,10.52186519729239,8173.717744600004,high
family:scratch_grid,decision_vol_quartile,"(0.173, 4.061]",1559,0.4579858883899936,0.4333870709534199,0.4827912544763614,0.1569803065063696,-0.09505187348384,6.133425539875988,9346.084632500017,high
family:scratch_grid,decision_vol_quartile,"(4.061, 5.508]",1483,0.4578556979096426,0.43263958512333806,0.48328958984728404,0.2677515991768889,-0.10387948588221001,6.604604499138383,14268.827826999994,high
family:scratch_grid,decision_vol_quartile,"(5.508, 7.194]",1446,0.48132780082987553,0.4556577147591411,0.5070968371863958,0.5898265045371982,-0.07850019119434501,7.159061875672353,31468.0219631,high
family:scratch_grid,decision_vol_quartile,"(7.194, 16.814]",1438,0.4916550764951321,0.465872126106077,0.5174824948176084,0.4276745478117438,-0.04429033067598,8.358447786277237,24092.0024909,high
